# deobf-rtti-classmap: 10202 vtables, 10202 COLs
0x1429c7a70	.?AVhkaDefaultAnimationControlListener@@
0x1429c7b08	.?AVLoopAnimCtrlListener@CS@@
0x1429c7b38	.?AVNoLoopAnimCtrlListener@CS@@
0x1429c7b68	.?AVRendMan@CS@@
0x1429c7f68	.?AVCSDefaultAnimationControl@CS@@
0x1429c80a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VAnimThreadMan@CS@@VAnimThreadManImp@2@@FD4@@$0A@@DLRF@@
0x1429c8188	.?AVCSTaeAnimEvent@CS@@
0x1429c8680	.?AVDLNonCopyable@DLUT@@
0x1429c8690	.?AVDLTemporaryHeap@DLKR@@
0x1429c86a0	.?AV?$FD4FilePathBase@Utag_FD4_FILEPATH_BASE_DLTEMPSTRING@FD4@@@FD4@@
0x1429c86b0	.?AVFD4TempFileName@FD4@@
0x1429c86c0	.?AVHvkAnim@CS@@
0x1429c86d0	.?AVWorldChrManDbg@CS@@
0x1429c8798	.?AVTaeDat@CS@@
0x1429c8878	.?AVViewerTaeAnimEvent@CS@@
0x1429c89d8	.?AVFXHGSfxCtrl@FX4HG@@
0x1429c89e8	.?AVBloodMessageIns@CS@@
0x1429c89f8	.?AVCSEventFlagMan@CS@@
0x1429c8e48	.?AV?$FD4TimeTemplate@M@FD4@@
0x1429c8e58	.?AVFD4Time@FD4@@
0x1429c8e68	.?AVBloodMessageInsMan@CS@@
0x1429c8e78	.?AVSysAllocBase@Scaleform@@
0x1429c8e98	.?AVSysAlloc@Scaleform@@
0x1429c8ed0	.?AV?$SysAllocBase_SingletonSupport@VSysAllocMalloc@Scaleform@@VSysAlloc@2@@Scaleform@@
0x1429c8f08	.?AVSysAllocMalloc@Scaleform@@
0x1429c8f40	.?AVAcquireInterface@Scaleform@@
0x1429c8f70	.?AVDefaultAcquireInterface@Scaleform@@
0x1429c8fa0	.?AVCSActionButtonRegionElement@CS@@
0x1429c8fb0	.?AVGestureParam@CS@@
0x1429c9c68	.?AVCSNetBloodMessageDb@CS@@
0x1429c9cf8	.?AV?$_Func_base@V?$DLReferencePointer@VMenuJob@CS@@@DLUT@@$$V@std@@
0x1429c9d30	.?AV?$_Func_impl@V<lambda_30871e2d739ea992464b25757ff29f10>@@V?$allocator@H@std@@V?$DLReferencePointer@VMenuJob@CS@@@DLUT@@$$V@std@@
0x1429c9e88	.?AVCSNetBloodMessageDbItem@CS@@
0x1429ca580	.?AVCSNetBloodStainDb@CS@@
